Country,Events
France,163
United Kingdom,135
Germany,98
Italy,80
Spain,79
Ukraine,36
Norway,35
Greece,30
Romania,24
Switzerland,22
Netherlands,20
Portugal,20
Belgium,17
Ireland,17
Georgia,15
Sweden,15
Poland,14
Bulgaria,12
Czech Republic,12
Azerbaijan,9
Denmark,9
Estonia,8
Hungary,8
Serbia,8
Iceland,7
Malta,7
Slovakia,7
Armenia,5
Austria,5
Croatia,5
Macedonia,5
Slovenia,5
Bosnia and Herzegovina,4
Cyprus,4
Finland,4
Belarus,3
Albania,2
Latvia,2
Lithuania,2
Luxembourg,2
Moldova,2
Faroe Islands,1
Guernsey,1
Isle of Man,1
Svalbard and Jan Mayen,1
