Country,Events
United States,1473
Russia,228
Brazil,219
Canada,180
France,163
Colombia,162
United Kingdom,135
Indonesia,112
India,110
Germany,98
Mexico,97
Australia,92
China,90
Italy,80
Spain,79
Philippines,78
Vietnam,78
Congo D.R.,69
Venezuela,66
Argentina,58
Peru,55
Japan,53
Bolivia,52
Iran,48
Angola,47
Papua New Guinea,47
Afghanistan,46
Egypt,44
Taiwan,41
Pakistan,38
Ecuador,37
Ukraine,36
Nepal,35
Nigeria,35
Norway,35
Turkey,33
Honduras,32
Greece,30
Thailand,30
Morocco,29
Sudan,29
Cameroon,28
Laos,28
Kenya,26
Myanmar,26
Puerto Rico,26
South Africa,26
Algeria,25
New Zealand,25
Romania,24
Chile,23
Saudi Arabia,23
Libya,22
Switzerland,22
Netherlands,20
Portugal,20
Nicaragua,19
Cuba,18
Guatemala,18
Belgium,17
Ireland,17
South Korea,17
Ethiopia,16
Malaysia,16
Georgia,15
Kazakhstan,15
Panama,15
Sri Lanka,15
Sweden,15
Costa Rica,14
Hong Kong,14
Iraq,14
Poland,14
Syria,14
Bahamas,13
Somalia,13
Bulgaria,12
Czech Republic,12
U.S. Virgin Islands,12
French Polynesia,10
Senegal,10
United Arab Emirates,10
Uzbekistan,10
Azerbaijan,9
Denmark,9
Madagascar,9
South Sudan,9
Yemen,9
Estonia,8
Haiti,8
Hungary,8
Lebanon,8
Mozambique,8
Serbia,8
Tanzania,8
Uruguay,8
Iceland,7
Malta,7
Mauritania,7
New Caledonia,7
Slovakia,7
American Samoa,6
Dominican Republic,6
Greenland,6
Guam,6
Liberia,6
Mongolia,6
Armenia,5
Austria,5
Bangladesh,5
Cambodia,5
Central African Republic,5
Cote d'Ivoire,5
Croatia,5
El Salvador,5
Guyana,5
Kyrgyzstan,5
Macedonia,5
Namibia,5
Slovenia,5
Suriname,5
Uganda,5
Zambia,5
Bermuda,4
Bosnia and Herzegovina,4
Cyprus,4
Finland,4
Mali,4
Niger,4
Rwanda,4
Zimbabwe,4
Belarus,3
Botswana,3
Guinea,3
Israel,3
Minor Outlying Islands,3
Qatar,3
Sierra Leone,3
Turks and Caicos Islands,3
Albania,2
Barbados,2
Cape Verde,2
Caribbean Netherlands,2
Chad,2
Curacao,2
Eritrea,2
French Southern Territories,2
Jamaica,2
Latvia,2
Lithuania,2
Luxembourg,2
Moldova,2
North Korea,2
Singapore,2
Tunisia,2
Antigua and Barbuda,1
Belize,1
Benin,1
Bhutan,1
British Virgin Islands,1
Burkina Faso,1
Cook Islands,1
Dominica,1
East Timor,1
Faroe Islands,1
Guernsey,1
Isle of Man,1
Kiribati,1
Macao,1
Malawi,1
Marshall Islands,1
Mauritius,1
Northern Mariana Islands,1
Palau,1
Paraguay,1
Saint-Barthelemy,1
Sint Maarten,1
Svalbard and Jan Mayen,1
