YMD,fatality
1908,1
1912,5
1913,45
1915,40
1916,108
1917,124
1918,65
1919,5
1920,24
1921,68
1922,80
1923,77
1924,18
1925,39
1926,30
1927,54
1928,124
1929,119
1930,138
1931,94
1932,75
1933,192
1934,126
1935,226
1936,227
1937,203
1938,414
1939,154
1940,169
1941,229
1942,363
1943,642
1944,601
1945,1314
1946,1306
1947,1233
1948,1069
1949,1085
1950,1382
1951,1166
1952,1200
1953,1188
1954,973
1955,864
1956,989
1957,1004
1958,1266
1959,1027
1960,1565
1961,1411
1962,2047
1963,1303
1964,1350
1965,1636
1966,1559
1967,1789
1968,2156
1969,1799
1970,2049
1971,1932
1972,2937
1973,2485
1974,2318
1975,1638
1976,2059
1977,2138
1978,1558
1979,2011
1980,1827
1981,1230
1982,1787
1983,1611
1984,1228
1985,2670
1986,1471
1987,1713
1988,2034
1989,2293
1990,1312
1991,1839
1992,2122
1993,1568
1994,1869
1995,1593
1996,2386
1997,1673
1998,1520
1999,970
2000,1429
2001,1398
2002,1437
2003,1276
2004,728
2005,1306
2006,1129
2007,931
2008,820
2009,1045
2010,1045
2011,712
2012,693
2013,355
2014,1215
2015,840
2016,388
