Day,Events
19080917,1
19120712,1
19130806,1
19130909,1
19131017,1
19150305,1
19150903,1
19160728,1
19160924,1
19161001,1
19161121,1
19161128,1
19170304,1
19170330,1
19170514,1
19170614,1
19170821,1
19171020,1
19180407,1
19180510,1
19180811,1
19181216,1
19190525,1
19190719,1
19191002,1
19191014,1
19191020,1
19191030,1
19200310,1
19200330,1
19200410,1
19200411,1
19200512,1
19200606,1
19200816,2
19200901,1
19200915,1
19200927,1
19201002,1
19201005,1
19201015,1
19201107,1
19201214,1
19201224,1
19210203,1
19210209,1
19210215,1
19210222,1
19210406,1
19210421,1
19210429,1
19210517,1
19210716,1
19210814,1
19210824,1
19210906,1
19211205,1
19220114,1
19220221,1
19220407,1
19220408,1
19220413,1
19251001,1
19220603,1
19220726,1
19220907,1
19221002,1
19221025,1
19221203,1
19230110,1
19230117,1
19230118,1
19230226,1
19230514,1
19230827,1
19230907,1
19230914,1
19231118,1
19231206,1
19231223,1
19231224,1
19240307,1
19240424,1
19240608,1
19240801,1
19241106,1
19241221,1
19241224,1
19250322,1
19250425,1
19250525,1
19250625,1
19250626,1
19250720,1
19250724,1
19250903,1
19250907,1
19251114,1
19260212,1
19260308,1
19260531,1
19260703,1
19260709,1
19260724,1
19260818,1
19260926,1
19261008,1
19261021,1
19261111,1
19261216,1
19270112,1
19270320,1
19270324,1
19270415,1
19270422,2
19270502,1
19270727,1
19270822,1
19270903,1
19270917,1
19270922,1
19270923,1
19271006,1
19271030,1
19271116,2
19271129,1
19271226,1
19271228,1
19271231,1
19280108,1
19280116,1
19280122,2
19280127,1
19280226,1
19280303,1
19280311,1
19280417,1
19280419,1
19280507,1
19280512,1
19280526,1
19280614,1
19280622,1
19280710,1
19280713,1
19280724,1
19280825,1
19280902,1
19280904,2
19280906,1
19281004,1
19281018,1
19281031,1
19281115,1
19281124,1
19281125,2
19281201,1
19281203,1
19281204,1
19281211,1
19281220,1
19281223,1
19281231,1
19290105,1
19290118,1
19290125,1
19290131,2
19290317,1
19290330,1
19290421,1
19290518,1
19290522,1
19290610,1
19290614,1
19290617,1
19290624,1
19290629,2
19290811,1
19290813,1
19290824,2
19290902,1
19290903,1
19290906,1
19290917,3
19291026,1
19291029,1
19291031,1
19291104,1
19291106,1
19291115,1
19291130,1
