Month,Events
190809,1
191207,1
191308,1
191309,1
191310,1
191503,1
191509,1
191607,1
191609,1
191610,1
191611,2
191703,2
191705,1
191706,1
191708,1
191710,1
191804,1
191805,1
191808,1
191812,1
191905,1
191907,1
191910,4
192003,2
192004,2
192005,1
192006,1
192008,2
192009,3
192010,3
192011,1
192012,2
192102,4
192104,3
192105,1
192107,1
192108,2
192109,1
192112,1
192201,1
192202,1
192204,3
192206,1
192207,1
192209,1
192210,2
192212,1
192301,3
192302,1
192305,1
192308,1
192309,2
192311,1
192312,3
192403,1
192404,1
192406,1
192408,1
192411,1
192412,2
192503,1
192504,1
192505,1
192506,2
192507,2
192509,2
192510,1
192511,1
192602,1
192603,1
192605,1
192607,3
192608,1
192609,1
192610,2
192611,1
192612,1
192701,1
192703,2
192704,3
192705,1
192707,1
192708,1
192709,4
192710,2
192711,3
192712,3
192801,5
192802,1
192803,2
192804,2
192805,3
192806,2
192807,3
192808,1
192809,4
192810,3
192811,4
192812,7
192901,5
192903,2
192904,1
192905,2
192906,6
192908,4
192909,6
192910,3
192911,4
192912,4
193001,5
193002,2
193004,1
193005,1
193006,1
193007,2
193008,1
193009,2
193010,6
193011,2
193012,1
193101,2
193102,3
193103,2
193104,1
193105,3
193106,3
193107,4
193108,1
193109,2
193110,2
193111,5
193112,4
193201,2
193202,4
193203,5
193204,1
193205,2
193207,1
193208,2
193209,3
193210,3
193211,2
193212,3
193301,5
193303,3
193304,4
193305,1
193306,1
193308,1
193309,1
193310,2
193311,5
193312,3
193401,2
193402,2
193403,3
193404,1
193405,2
193406,4
193407,2
193408,3
193410,2
193411,4
193412,5
193501,2
193503,3
193504,2
193505,7
193506,1
193507,3
193508,4
193509,1
193510,5
193511,4
193512,4
193601,4
193602,1
193603,2
193604,7
193605,1
193606,3
193607,1
193608,6
193609,3
193610,2
193611,4
193612,9
193701,2
193702,2
193703,4
193705,2
193707,2
193708,6
193710,3
193711,3
193712,3
193801,4
193802,5
193803,4
193804,1
193805,7
193806,2
193807,6
193808,8
193810,4
193811,7
193812,3
193901,5
193902,1
193903,4
193904,1
193905,3
193906,1
193907,1
193908,5
193909,1
193911,1
193912,3
194001,1
194003,1
194004,1
194006,3
194007,1
194008,4
194010,2
194011,4
194012,1
194101,4
194102,2
194103,2
194106,3
194108,3
194109,2
194110,4
194112,1
194201,5
194202,4
194203,3
194204,1
194205,2
194207,3
194208,5
194209,1
194210,6
194212,2
194301,5
194302,3
194303,3
194304,1
194306,5
194307,3
194308,5
194309,3
194310,4
194311,4
194312,3
194401,1
194402,3
194403,1
194404,4
194405,2
194406,6
194407,3
194408,6
194409,5
194410,6
194411,7
194412,3
194501,7
194502,6
194503,1
194504,8
194505,5
194506,5
194507,4
194508,3
194509,5
194510,10
194511,9
194512,6
194601,7
194602,2
194603,7
194604,4
194605,3
194606,5
