YMD,fatality
190809,1
191207,5
191308,1
191309,14
191310,30
191503,21
191509,19
191607,20
191609,22
191610,19
191611,47
191703,43
191705,21
191706,24
191708,18
191710,18
191804,23
191805,22
191808,19
191812,1
191905,1
191907,1
191910,3
192003,2
192004,2
192005,1
192006,1
192008,2
192009,5
192010,5
192011,1
192012,5
192102,7
192104,3
192105,1
192107,1
192108,48
192109,5
192112,3
192201,5
192202,34
192204,27
192206,3
192207,3
192209,1
192210,6
192212,1
192301,5
192302,1
192305,6
192308,2
192309,7
192311,2
192312,54
192403,1
192404,3
192406,3
192408,1
192411,1
192412,9
192503,5
192504,4
192505,2
192506,6
192507,2
192509,17
192510,1
192511,2
192602,1
192603,1
192605,1
192607,13
192608,4
192609,2
192610,4
192611,3
192612,1
192701,2
192703,4
192704,4
192705,1
192707,5
192708,1
192709,16
192710,6
192711,8
192712,7
192801,9
192802,1
192803,12
192804,10
192805,6
192806,6
192807,11
192808,7
192809,14
192810,5
192811,8
192812,35
192901,7
192903,18
192904,6
192905,6
192906,17
192908,10
192909,19
192910,10
192911,15
192912,11
193001,27
193002,3
193004,4
193005,3
193006,1
193007,10
193008,10
193009,5
193010,67
193011,4
193012,4
193101,3
193102,4
193103,16
193104,2
193105,4
193106,10
193107,12
193108,6
193109,5
193110,6
193111,13
193112,13
193201,9
193202,10
193203,14
193204,1
193205,5
193207,9
193208,3
193209,7
193210,5
193211,7
193212,5
193301,6
193303,20
193304,84
193305,6
193306,1
193308,5
193309,8
193310,12
193311,29
193312,21
193401,16
193402,9
193403,12
193404,3
193405,8
193406,14
193407,15
193408,7
193410,14
193411,12
193412,16
193501,12
193503,11
193504,8
193505,68
193506,17
193507,21
193508,9
193509,3
193510,28
193511,22
193512,27
193601,37
193602,4
193603,14
193604,32
193605,2
193606,9
193607,7
193608,18
193609,9
193610,2
193611,26
193612,67
193701,17
193702,16
193703,24
193705,39
193707,17
193708,34
193710,25
193711,24
193712,7
193801,24
193802,37
193803,25
193804,19
193805,28
193806,7
193807,64
193808,82
193810,55
193811,46
193812,27
193901,25
193902,10
193903,29
193904,9
193905,12
193906,3
193907,6
193908,35
193909,1
193911,2
193912,22
194001,8
194003,8
194004,3
194006,15
194007,0
194008,51
194010,11
194011,63
194012,10
194101,29
194102,21
194103,13
194106,39
194108,52
194109,23
194110,49
194112,3
194201,46
194202,38
194203,40
194204,12
194205,20
194207,44
194208,47
194209,25
194210,72
194212,19
194301,107
194302,54
194303,30
194304,13
194306,110
194307,44
194308,65
194309,67
194310,72
194311,21
194312,59
194401,5
194402,42
194403,21
194404,36
194405,26
194406,84
194407,70
194408,86
194409,70
194410,51
194411,93
194412,17
194501,79
194502,111
194503,24
194504,137
194505,123
194506,46
194507,49
194508,32
194509,105
194510,261
194511,264
194512,83
194601,100
194602,21
194603,118
194604,49
194605,68
194606,91
194607,128
194608,24
194609,240
194610,104
194611,127
194612,236
194701,205
194702,132
194703,64
194704,58
194705,165
194706,71
194707,62
194708,86
194710,184
194711,110
194712,96
194801,146
194802,71
194803,110
194804,45
194805,63
194806,50
194807,149
194808,111
194809,13
194810,74
194811,62
194812,175
194901,121
194902,112
194903,34
194905,44
194906,135
194907,116
194908,146
194909,52
194910,52
194911,125
194912,148
195001,110
195002,12
195003,124
195004,63
195005,109
195006,216
195007,177
195008,79
195009,93
195010,66
195011,156
195012,177
195101,89
195102,45
195103,134
195104,139
195105,31
195106,119
195107,103
195108,67
195109,104
195110,97
195111,93
195112,145
195201,88
195202,112
195203,213
195204,183
195205,40
195206,30
195207,1
195208,51
195209,50
195210,69
195211,186
195212,177
195301,119
195302,138
195303,122
195304,65
195305,92
195306,198
195307,123
195308,21
195309,125
195310,88
195311,38
195312,59
195401,132
195402,67
195403,91
195404,148
195405,22
195406,11
195407,30
195408,141
195409,37
195410,108
195411,26
195412,160
195501,38
195502,69
195503,122
195504,36
195505,26
195506,37
195507,102
195508,136
195509,49
195510,92
195511,106
195512,51
195601,30
195602,168
195603,24
195604,38
195605,46
195606,234
195607,65
195608,27
195609,1
195610,90
195611,150
195612,116
195701,41
195702,43
195703,168
195704,128
195705,92
195706,35
195707,83
195708,122
195709,24
195710,60
195711,110
195712,98
195801,14
195802,147
195803,85
195804,147
195805,119
195806,88
195807,3
195808,266
195809,93
195810,184
195811,66
195812,54
195901,120
195902,91
195903,56
195904,66
195905,68
195906,142
195908,47
195909,129
195910,45
195911,114
195912,149
196001,191
196002,186
196003,97
196004,128
196005,26
196006,97
196007,105
196008,127
196009,200
196010,112
196011,74
196012,222
196101,95
196102,98
196103,87
196104,24
196105,174
196106,45
196107,163
196108,73
196109,326
196110,51
196111,215
196112,60
196201,24
196202,43
196203,380
196204,71
196205,169
196206,412
196207,262
196208,54
196209,206
196210,34
196211,241
196212,151
196301,44
196302,70
196303,115
196304,12
196305,126
196306,276
196307,155
196308,69
196309,148
196310,55
196311,140
196312,93
196401,30
196402,252
196403,181
196404,66
196405,193
196406,65
196407,50
196408,5
196409,156
196410,148
196411,131
196412,73
196501,42
196502,181
196503,159
196504,89
196505,149
196506,103
196507,195
196508,113
196509,112
196510,81
196511,284
196512,128
196601,332
196602,178
196603,237
196604,147
196605,33
196606,35
196607,27
196608,95
196609,129
196610,49
196611,217
196612,80
196701,27
196702,87
196703,187
196704,277
196705,30
196706,353
196707,186
196708,11
196709,51
196710,111
196711,296
196712,173
196801,110
196802,254
196803,215
196804,267
196805,307
196806,165
196807,46
196808,172
196809,212
196810,152
196811,44
196812,212
196901,176
196902,107
196903,238
196904,228
196905,61
196906,117
196907,100
196908,40
196909,399
196910,31
196911,114
196912,188
197001,166
197002,347
197003,81
197004,182
197005,72
197006,19
197007,297
197008,225
197009,121
197010,93
197011,261
197012,185
197101,159
197102,15
197103,84
197104,53
197105,114
197106,125
197107,378
197108,174
197109,224
197110,170
197111,227
197112,209
197201,217
197202,70
197203,169
197204,107
197205,237
197206,550
197207,123
197208,390
197209,58
197210,474
197211,110
197212,432
197301,274
197302,366
197303,170
197304,149
197305,230
197306,63
197307,333
197308,239
197309,194
197310,166
197311,37
197312,264
197401,322
197402,56
197403,419
197404,321
197405,59
197406,68
197407,8
197408,178
197409,275
197410,73
197411,73
197412,466
197501,193
197502,102
197503,104
197504,160
197505,34
197506,120
197507,111
197508,394
197509,123
197510,155
197511,124
197512,18
197601,272
197602,44
197603,156
197604,109
197605,104
197606,112
197607,100
197608,129
197609,521
197610,217
197611,166
197612,129
197701,146
197702,86
197703,677
197704,146
197705,144
197706,39
197707,113
197708,24
197709,165
197710,39
197711,234
197712,325
197801,233
197802,117
197803,204
197804,34
197805,20
197806,30
197807,5
197808,60
197809,271
197810,107
197811,332
197812,145
197901,44
197902,95
197903,224
197904,68
197905,303
197906,30
197907,111
197908,336
197909,110
197910,123
197911,442
197912,125
198001,202
198002,68
198003,141
198004,250
198005,23
198006,167
198007,198
198008,364
198009,254
198010,3
198011,65
198012,92
198101,20
198102,102
198103,31
198104,46
198105,140
198106,64
198107,111
198108,200
198109,121
198110,35
198111,134
198112,226
198201,176
198202,143
198203,93
198204,157
198205,87
198206,383
198207,259
198208,61
198209,170
198210,8
198211,54
198212,196
198301,61
198302,8
198303,59
198304,86
198305,30
198306,109
198307,169
198308,123
198309,413
198310,31
198311,376
198312,146
198401,78
198402,93
198403,70
198404,23
198405,18
198406,24
198407,58
198408,115
198409,107
198410,452
198411,15
198412,175
198501,242
198502,287
198503,52
198504,34
198505,106
198506,349
198507,282
198508,741
198509,149
198510,37
198511,103
198512,288
198601,112
198602,15
198603,299
198604,28
198605,120
198606,54
198607,74
198608,214
198609,31
198610,186
198611,188
198612,150
198701,163
198702,62
198703,69
198704,45
198705,232
198706,212
198707,12
198708,243
198709,32
198710,97
198711,338
198712,208
198801,192
198802,87
198803,215
198804,108
198805,47
198806,63
198807,311
198808,160
198809,155
198810,270
198811,36
198812,390
198901,84
198902,213
198903,60
198904,38
198905,33
198906,328
198907,291
198908,158
198909,490
198910,345
198911,206
198912,47
199001,210
199002,139
199003,86
199004,65
199005,73
199006,30
199007,54
199008,166
199009,49
199010,274
199011,137
199012,29
199101,40
199102,195
199103,294
199104,53
199105,281
199106,25
199107,309
199108,100
199109,84
199110,172
199111,235
199112,51
199201,145
199202,51
199203,54
199204,145
199206,90
199207,443
199208,123
199209,379
199210,95
199211,277
199212,320
199301,48
199302,171
199303,96
199304,232
199305,137
199306,63
199307,211
199308,110
199309,136
199310,78
199311,170
199312,116
199401,141
199402,45
199403,134
199404,354
199405,19
199406,305
199407,173
199408,106
199409,194
199410,226
199411,49
199412,123
199501,108
199502,11
199503,76
199504,64
199505,50
199506,100
199507,61
199508,98
199509,251
199510,41
199511,137
199512,596
199601,61
199602,470
199603,57
199604,64
199605,185
199606,40
199607,308
199608,168
199609,37
199610,199
199611,727
199612,70
199701,40
199702,141
199703,159
199704,84
199705,35
199706,34
199707,116
199708,270
199709,364
199710,102
199711,8
199712,320
199801,70
199802,339
199803,90
199804,53
199805,173
199806,17
199807,57
199808,155
199809,336
199810,49
199811,40
199812,141
199901,52
199902,98
199903,28
199904,19
199905,14
199906,89
199907,77
199908,89
199909,62
199910,248
199911,46
199912,148
200001,299
200002,17
200003,30
200004,165
200005,41
200006,68
200007,260
200008,217
200009,34
200010,230
200011,62
200012,6
200101,73
200102,17
200103,87
200104,41
200105,76
200106,1
200107,182
200108,28
200109,294
200110,226
200111,319
200112,54
200201,155
200202,147
200203,25
200204,157
200205,436
200206,32
200207,141
200208,194
200209,16
200210,22
200211,49
200212,63
